城市,代码,链接
镇江,646,//www.zhaopin.com/zhenjiang/
中山,780,//www.zhaopin.com/zhongshan/
珠海,766,//www.zhaopin.com/zhuhai/
株洲,750,//www.zhaopin.com/changzhutan/
淄博,704,//www.zhaopin.com/zibo/
遵义,824,//www.zhaopin.com/zunyi/
驻马店,735,//www.zhaopin.com/zhumadian/
周口,734,//www.zhaopin.com/zhoukou/
自贡,802,//www.zhaopin.com/zigong/
舟山,661,//www.zhaopin.com/zhoushan/
张掖,870,//www.zhaopin.com/zhangye/
张家界,756,//www.zhaopin.com/zhangjiajie/
昭通,835,//www.zhaopin.com/zhaotong/
肇东市,10510,//www.zhaopin.com/zhaodongshi/
中卫,906,//www.zhaopin.com/zhongwei/
诸暨,10131,//jobs.zhaopin.com/shaoxing_re3387/
资阳,818,//www.zhaopin.com/ziyang/
遵化,10143,//www.zhaopin.com/zunhua/
